"company_name","company_url","company_linkedin_url","company_country","company_country_code","company_city","company_industry","company_employee_count","company_founding_year","technologies_count","technologies","total_jobs_count","jobs_matching_filters_count","jobs_titles","annual_revenue_usd","company_seo_description","company_description","spring-boot_confidence","spring-boot_n_jobs"
"Jobs via Dice","https://dice.com","https://www.linkedin.com/company/jobs-via-dice/","","","","Software Development","16","None","1","Spring Boot","369550","None","","None","Dice: Where tech connects.™","Welcome to Jobs via Dice, the go-to destination for discovering the tech jobs you want.

This page is dedicated to sharing job opportunities with tech professionals at every stage of their careers. When you see a job posted by Jobs via Dice, it’s a job for one of our many clients seeking to hire tech professionals like you.

At Dice, we understand that your career in technology is more than just a job; it’s a journey of growth, innovation and continuous learning. Stay connected with us to explore the latest job opportunities, industry trends and career tips tailored for tech professionals. Your future in tech starts here.

What You’ll Find on Dice.com:

Tailored Tech Opportunities - Connect with the right tech companies and roles that match your skills and ambitions. Whether you're looking to land your first job or elevate your career, Dice is here to help.

Career Resources - Utilize our tools to build your skills, enhance your visibility, and get noticed by top employers.

Easy Apply - Find and apply to your perfect tech role in just a few clicks with our Easy Apply feature. Simplify your job search and get hired faster.

Industry Insights - Stay ahead with our expert career advice and industry insights. From resume tips to interview prep, we provide the resources you need to succeed.

Employer Profiles - Get a firsthand look at a company’s culture to make informed decisions about where you want to work.

Join the community of tech professionals who trust Dice to help them find and apply to their next job in tech.

To follow our company page on LinkedIn, visit: https://www.linkedin.com/company/dice
","high","10910"
"Jobot","https://Jobot.com","https://www.linkedin.com/company/jobot/","United States","US","Newport Beach","Staffing and Recruiting","1911","2018","1","Spring Boot","212884","None","","100009000.0","Hire or Be Hired. Your Jobot AI  job search starts here.","Jobot is on a mission to connect good people with good jobs. By combining AI-powered technology with the expertise of Jobot Pros, our experienced recruiters, we help you find career opportunities that align with your goals and values.

Founded in 2018 and employee-owned since 2024, Jobot is committed to fostering a culture of kindness, respect, innovation, and connection.  As an industry leader, we’ve been recognized as a top workplace by Forbes, Fortune, USA Today, and Staffing Industry Analysts (SIA).

Ready to find a good job? Create your profile today at Jobot.com. 🤖","high","274"
"EY","https://ey.com","https://www.linkedin.com/company/ernstandyoung/","United Kingdom","GB","London","Professional Services","366190","1989","1","Spring Boot","195843","None","","45420000000.0","EY CogniStreamer allows stakeholders across an organization to create, assess and select innovative ideas on a user-friendly platform. Find out how.","EY is building a better working world by creating new value for clients, people, society, the planet, while building trust in the capital markets.

Enabled by data, AI and advanced technology, EY teams help clients shape the future with confidence and develop answers for the most pressing issues of today and tomorrow.

EY teams in more than 150 countries work across a full spectrum of services in assurance, consulting, tax, strategy and transactions, strengthened by sector experience and diverse ecosystem partners.
 
Find out more about the EY global network: http://ey.com/en_gl/legal-statement","high","1484"
"TieTalent","https://tietalent.com","https://www.linkedin.com/company/tietalent/","Switzerland","CH","Renens","Technology, Information and Internet","29","None","1","Spring Boot","147656","None","","None","Career growth platform for tech, marketing & sales talent | Top companies hiring | Discover global job opportunities 🚀 ","TieTalent is the career growth platform designed for tech professionals, connecting talents with top companies worldwide.

By joining our community, talents gain access to a complete overview of the job market and exclusive career resources. We offer two ways to find your next opportunity:

✅ Let Job Opportunities Discover You – Create your profile, and our intelligent system matches you with job openings that align with your skills and career goals. Companies apply to you, and you decide which opportunities to explore.

🔍 Explore External Job Listings – Discover a broad range of job openings from multiple sources. Think of TieTalent as the ""Kayak"" for jobs: we show you opportunities across various platforms, and when you show interest in an external listing, you’ll be redirected to apply directly through the respective site.

For companies, TieTalent provides a smart hiring platform that makes finding top tech talent fast and hassle-free. Our AI-powered system, combined with expert insights, connects businesses with 100K+ vetted professionals in IT, tech, AI, marketing, and sales—helping you hire the right talent quickly and efficiently.

Since launching in October 2018, TieTalent has been trusted by hundreds of thousands of tech professionals and thousands of companies—from innovative startups to leading global enterprises.

👉 Join us and be part of the future of tech recruitment.

📜 Imprint & Terms & Conditions: https://tietalent.com/en/terms-and-conditions","high","1194"
"State Farm","https://statefarm.com","https://www.linkedin.com/company/state_farm/","United States","US","Bloomington","Insurance","107820","None","1","Spring Boot","141915","None","","None","Join our Community of Good Neighbors","At State Farm®, our mission is to help people manage the risks of everyday life, recover from the unexpected, and realize their dreams. We are passionate and driven to create possibilities, and we’re serious about helping customers by providing solutions for all of life’s moments. Like a good neighbor, State Farm is there.®","high","48"
"Lensa","https://lensa.com","https://www.linkedin.com/company/lensa/","United States","US","West Chester","IT Services and IT Consulting","436","None","1","Spring Boot","137426","None","","None","Make your move. Building careers that matter for job seekers and professionals.","What if we could take the search out of job search? This is the question
Lensa has been answering since launching in San Francisco, California in
August 2016. Using machine learning, we instantly provide companies with
candidates and match professionals with positions that fit their skills,
goals, personalities, and needs.
How does it work? Lensa applies complex algorithms that identify the
skills needed to succeed on a given job. Candidates can play computer
games that assess their work style, thus gaining insight into their strengths
while unlocking career opportunities.
The result: job search that puts people first while reducing the time and
cost of talent acquisition.

Lensa passed 10 million job seeker registrations in 2019, making the com-
pany one of the premier career platforms.

With teams in multiple U.S. locations and a 60-strong crew of developers
and data scientists at its R & D headquarters in Europe, Lensa is working
every day to share its transformative career technology with the world.","high","1036"
"McDonald's","https://corporate.mcdonalds.com","https://www.linkedin.com/company/mcdonald%27s-corporation/","United States","US","Chicago","Restaurants","560000","1955","1","Spring Boot","103111","None","","24193900000.0","Einfach gut: Die aktuellen Angebote und Aktionen von McDonald's findest du hier. Entdecke exklusive McDonald's Deals, Coupons und Aktionen in der McDonald's App. Jetzt sparen. Qualität und Frische. McDonald's® Snacks. Genuss zum mitnehmen. 1.939 Restaurants.","McDonald’s is the world’s leading global foodservice retailer with over 37,000 locations in over 100 countries.  More than 90% of McDonald’s restaurants worldwide are owned and operated by independent local business men and women.
 
McDonald's & our franchisees employ 1.9 million people worldwide.

We serve the world some of its favorite foods - World Famous Fries, Big Mac, Quarter Pounder, Chicken McNuggets and Egg McMuffin. 

To learn more about the company, please visit www.aboutmcdonalds.com.","high","31"
"Capgemini","https://capgemini.com","https://www.linkedin.com/company/capgemini/","France","FR","Paris","IT Services and IT Consulting","357000","1967","1","Spring Boot","95828","None","","23550000000.0","","Capgemini is a global business and technology transformation partner, helping organizations to accelerate their dual transition to a digital and sustainable world, while creating tangible impact for enterprises and society. It is a responsible and diverse group of 340,000 team members in more than 50 countries. With its strong over 55-year heritage, Capgemini is trusted by its clients to unlock the value of technology to address the entire breadth of their business needs. It delivers end-to-end services and solutions leveraging strengths from strategy and design to engineering, all fueled by its market leading capabilities in AI, generative AI, cloud and data, combined with its deep industry expertise and partner ecosystem. The Group reported 2024 global revenues of €22.1 billion.

Get The Future You Want | www.capgemini.com","high","4021"
"myGwork - LGBTQ+ Business Community","https://mygwork.com","https://www.linkedin.com/company/mygwork/","United Kingdom","GB","London","Technology, Information and Internet","209","None","1","Spring Boot","89968","None","","None","The business community for LGBTQ+ professionals, graduates, inclusive employers and advocates for workplace equality.","myGwork is the largest global platform for the LGBTQ+ business community. 
Our mission is to make the workplace more inclusive for all by providing individual users and partner organizations access to a wide eco-system of services, including job opportunities, training, mentoring, employer branding, and free community events. Joining the platform is free for individual members, which supports myGwork’s goal of ensuring that the platform's benefits are as accessible and as far-reaching as possible. Corporate members get a tailored service, with carefully curated product packages to help them achieve all their DE&I goals.

myGwork organizes two annual events, WorkFair – the largest virtual global career fair for the LGBTQ+ professionals, graduates and students, and WorkPride – a week-long global conference for the LGBTQ+ business community and allies during Pride Month. The company also recently launched the myGwork Academy, delivering practical and relevant LGBTQ+ training education to help create inclusive workplaces for all. 

For more information, check out www.mygwork.com.","high","741"
"PwC","https://pwc.com","https://www.linkedin.com/company/pwc/","United Kingdom","GB","Sydney","Professional Services","328000","1998","1","Spring Boot","88975","None","","50300000000.0","PwC fornisce servizi professionali di revisione, di consulenza e di consulenza legale/fiscale alle imprese con l’obiettivo di costruire relazioni con i propri clienti basate sull’integrità e sulla creazione di valore.","At PwC, we help clients drive their companies to the leading edge. We’re a tech-forward, people-empowered network with more than 370,000 people in 149 countries. Across audit and assurance, tax and legal, deals and consulting we help build, accelerate and sustain momentum. Find out more at www.pwc.com.

PwC: Audit and assurance, consulting and tax services
PwC refers to the PwC network and/or one or more of its member firms, each of which is a separate legal entity. Content on this page has been prepared for general information only and is not intended to be relied upon as accounting, tax or professional advice. Please reach out to your advisors for specific advice.","high","582"
"KPMG US","https://kpmg.com","https://www.linkedin.com/company/kpmg-us/","United States","US","New York","Financial Services","51996","None","1","Spring Boot","87340","None","","None","KPMG LLP, the U.S. audit, tax & advisory firm, operates from 90+ offices and over 36,000 partners and professionals.","KPMG is one of the world’s leading professional services firms and the fastest growing Big Four accounting firm in the United States. With 90+ offices and more than 36,000 employees and partners throughout the US, we’re leading the industry in new and exciting ways. Our size and strength make us much more agile and responsive to changing trends.","high","403"
"Citi","https://citigroup.com","https://www.linkedin.com/company/citi/","United States","US","New York","Financial Services","200000","1812","1","Spring Boot","87007","None","","75338000000.0","","Citi's mission is to serve as a trusted partner to our clients by responsibly providing financial services that enable growth and economic progress. Our core activities are safeguarding assets, lending money, making payments and accessing the capital markets on behalf of our clients. We have over 200 years of experience helping our clients meet the world's toughest challenges and embrace its greatest opportunities. We are Citi, the global bank – an institution connecting millions of people across hundreds of countries and cities.

For information on Citi’s commitment to privacy, visit on.citi/privacy.","high","2754"
"Thermo Fisher Scientific","https://thermofisher.com","https://www.linkedin.com/company/srcare/","Switzerland","CH","Écublens","Research Services","130000","1956","1","Spring Boot","83568","None","","44167000000.0","Thermo Fisher Scientific enables our customers to make the world healthier, cleaner and safer.","The world leader in serving science
To serve science, Thermo Fisher Scientific needs to stay ahead of it, we need to anticipate customer needs. We need to constantly think about advancing science, so customers have the freedom to be bolder and more innovative – we are committed to pushing science and technology a step beyond where it is today.
To enable our customers to make the world healthier, cleaner and safer","high","164"
"Adecco","https://adecco.com","https://www.linkedin.com/company/adecco/","Switzerland","CH","Zurich","Staffing and Recruiting","165553","None","1","Spring Boot","83503","None","","None","Adecco helps more job seekers start and advance their careers than anyone else. Work with us to achieve your goals!","Perfect placements. Speedy staffing. Tenacious testing. Who’s Adecco, we hear you ask? Only the top provider of first-class HR solutions. Our consultants work with some of the best, and most exciting, companies all over the world. We equip our clients with priceless industry insight and put everything we’ve got into training and mentoring our candidates. 

We’re here to match talented people with the job opportunities and employers they’re looking for. On any given day we connect over 700,000 people with fulfilling opportunities that make the most of their skills now and enable them to develop new expertise for the future.","high","120"
"JPMorganChase","https://jpmorganchase.com","https://www.linkedin.com/company/jpmorganchase/","United States","US","New York","Financial Services","243917","None","1","Spring Boot","82669","None","","None","Headquartered in New York City, JPMorgan Chase is the largest bank in the United States.","With a history tracing its roots to 1799 in New York City, JPMorganChase is one of the world's oldest, largest, and best-known financial institutions—carrying forth the innovative spirit of our heritage firms in global operations across 100 markets.
 
We serve millions of customers and many of the world’s most prominent corporate, institutional, and government clients daily, managing assets and investments, offering business advice and strategies, and providing innovative banking solutions and services.

Social Media Terms and Conditions: https://bit.ly/JPMCSocialTerms

© 2024 JPMorgan Chase & Co. All rights reserved. JPMorganChase is an Equal Opportunity Employer, including Disability/Veterans.
 ","high","2942"
"Walmart","https://walmart.com","https://www.linkedin.com/company/walmart/","United States","US","Bentonville","Retail","2300000","1962","1","Spring Boot","81472","None","","611289000000.0","Shop Walmart.com today for Every Day Low Prices. Join Walmart+ for unlimited free delivery from your store & free shipping with no order minimum. Start your free 30-day trial now!","Sixty years ago, Sam Walton started a single mom-and-pop shop and transformed it into the world’s biggest retailer. Since those founding days, one thing has remained consistent: our commitment to helping our customers save money so they can live better. Today, we’re reinventing the shopping experience and our associates are at the heart of it. When you join our Walmart family of brands, you’ll play a crucial role in shaping the future of retail, improving millions of lives around the world. 

We are ecstatic to have been named a Great Place to Work® Certified May 2023 – May 2024, Disability: IN 2023 Best Places to Work, and Fast Company 100 Best Workplaces for Innovators 2023.

This is that place where your passions meet purpose. Join our family and build a career you’re proud of.","high","786"
